TYPE,ROTATION,treatment,AU,IFM,ORIGIN,SILV_STATE,RETENTION
succession,0,,985501000,unmanaged,natural,baseline,0.083429829930807
succession,0,,985501000,managed,natural,baseline,0.083429829930807
succession,1,,985501000,managed,planted,cc_pl,0.083429829930807
succession,0,,985502006,unmanaged,natural,baseline,1.0
succession,0,,985501000,unmanaged,planted,cc_pl,0.340040308561643
succession,0,,985501000,managed,planted,cc_pl,0.340040308561643
succession,0,,985503000,unmanaged,planted,cc_pl,0.045344228314493
succession,0,,985503000,managed,planted,cc_pl,0.045344228314493
succession,1,,985503000,managed,planted,cc_pl_pct,0.045344228314493
succession,0,,985502007,unmanaged,natural,baseline,0.279581043563297
succession,0,,985502007,managed,natural,baseline,0.279581043563297
succession,1,,985502007,managed,planted,cc_pl,0.279581043563297
succession,0,,985502001,unmanaged,planted,cc_pl,0.035
succession,0,,985502001,managed,planted,cc_pl,0.035
succession,1,,985502001,managed,planted,cc_pl_pct,0.035
succession,0,,985503000,unmanaged,planted,cc_pl,0.161074795426115
succession,0,,985503000,managed,planted,cc_pl,0.161074795426115
succession,1,,985503000,managed,planted,cc_pl_pct,0.161074795426115
succession,0,,985503003,unmanaged,natural,baseline,0.497101452628146
succession,0,,985503003,managed,natural,baseline,0.497101452628146
succession,1,,985503003,managed,planted,cc_pl,0.497101452628146
succession,0,,985501001,unmanaged,natural,baseline,0.040950023928988
succession,0,,985501001,managed,natural,baseline,0.040950023928988
succession,1,,985501001,managed,planted,cc_pl,0.040950023928988
succession,0,,985501003,unmanaged,natural,baseline,0.795168603959491
succession,0,,985501003,managed,natural,baseline,0.795168603959491
succession,1,,985501003,managed,planted,cc_pl,0.795168603959491
succession,0,,985502003,unmanaged,natural,baseline,0.035
succession,0,,985502003,managed,natural,baseline,0.035
succession,1,,985502003,managed,planted,cc_pl,0.035
succession,0,,985502002,unmanaged,planted,cc_pl,0.035
succession,0,,985503000,unmanaged,planted,cc_pl,0.047770491905831
succession,0,,985503000,managed,planted,cc_pl,0.047770491905831
succession,1,,985503000,managed,planted,cc_pl_pct,0.047770491905831
succession,0,,985501000,unmanaged,natural,baseline,0.226425461344206
succession,0,,985501000,managed,natural,baseline,0.226425461344206
succession,1,,985501000,managed,planted,cc_pl,0.226425461344206
succession,0,,985501001,unmanaged,planted,cc_pl,0.035
succession,0,,985501001,managed,planted,cc_pl,0.035
succession,0,,985501000,unmanaged,natural,baseline,0.035
succession,0,,985501000,managed,natural,baseline,0.035
succession,0,,985501003,unmanaged,natural,baseline,0.089446694663384
succession,0,,985501003,managed,natural,baseline,0.089446694663384
succession,1,,985501003,managed,planted,cc_pl,0.089446694663384
succession,0,,985502004,unmanaged,planted,cc_pl,0.179126780072567
succession,0,,985502004,managed,planted,cc_pl,0.179126780072567
succession,0,,985501001,unmanaged,planted,cc_pl,0.11179494433963
succession,0,,985501001,managed,planted,cc_pl,0.11179494433963
succession,0,,985503003,unmanaged,natural,baseline,0.035
succession,0,,985503003,managed,natural,baseline,0.035
succession,1,,985503003,managed,planted,cc_pl,0.035
succession,0,,985502002,unmanaged,natural,baseline,0.825222811817728
succession,0,,985502002,managed,natural,baseline,0.825222811817728
succession,1,,985502002,managed,planted,cc_pl,0.825222811817728
succession,0,,985502004,unmanaged,planted,cc_pl,0.715073525371983
succession,0,,985502004,managed,planted,cc_pl,0.715073525371983
succession,0,,985502004,unmanaged,planted,cc_pl,0.565949293976324
succession,0,,985502004,managed,planted,cc_pl,0.565949293976324
succession,0,,985501001,unmanaged,planted,cc_pl,0.177146481856507
succession,0,,985501001,managed,planted,cc_pl,0.177146481856507
succession,0,,985502002,unmanaged,natural,baseline,0.282280865427848
succession,0,,985502002,managed,natural,baseline,0.282280865427848
succession,1,,985502002,managed,planted,cc_pl,0.282280865427848
succession,0,,985502008,unmanaged,natural,baseline,1.0
succession,0,,985503000,unmanaged,natural,baseline,0.035
succession,0,,985503000,managed,natural,baseline,0.035
succession,0,,985502002,unmanaged,natural,baseline,0.281513567409352
succession,0,,985502002,managed,natural,baseline,0.281513567409352
succession,1,,985502002,managed,planted,cc_pl,0.281513567409352
succession,0,,985503000,unmanaged,planted,cc_pl,0.595791786279342
succession,0,,985503000,managed,planted,cc_pl,0.595791786279342
succession,1,,985503000,managed,planted,cc_pl_pct,0.595791786279342
succession,0,,985503000,unmanaged,planted,cc_pl,0.501422323682337
succession,0,,985503000,managed,planted,cc_pl,0.501422323682337
succession,1,,985503000,managed,planted,cc_pl_pct,0.501422323682337
succession,0,,985501000,unmanaged,planted,cc_pl,0.122079092444068
succession,0,,985501000,managed,planted,cc_pl,0.122079092444068
succession,0,,985502002,unmanaged,natural,baseline,0.162590585993911
succession,0,,985502002,managed,natural,baseline,0.162590585993911
succession,1,,985502002,managed,planted,cc_pl,0.162590585993911
succession,0,,985502001,unmanaged,natural,baseline,0.326381380930685
succession,0,,985502001,managed,natural,baseline,0.326381380930685
succession,1,,985502001,managed,planted,cc_pl,0.326381380930685
succession,2,,985502001,managed,planted,cc_pl_pct,0.326381380930685
succession,0,,985501001,unmanaged,natural,baseline,1.0
succession,0,,985503000,unmanaged,planted,cc_pl,0.581197300518106
succession,0,,985503000,managed,planted,cc_pl,0.581197300518106
succession,1,,985503000,managed,planted,cc_pl_pct,0.581197300518106
succession,0,,985502002,unmanaged,planted,cc_pl,0.223464870626845
succession,0,,985502002,managed,planted,cc_pl,0.223464870626845
succession,0,,985501000,unmanaged,natural,baseline,0.078365529059234
succession,0,,985501000,managed,natural,baseline,0.078365529059234
succession,1,,985501000,managed,planted,cc_pl,0.078365529059234
succession,0,,985503000,unmanaged,planted,cc_pl,0.691962124571385
succession,0,,985503000,managed,planted,cc_pl,0.691962124571385
succession,1,,985503000,managed,planted,cc_pl_pct,0.691962124571385
succession,0,,985503003,unmanaged,natural,baseline,0.610979902530386
succession,0,,985503003,managed,natural,baseline,0.610979902530386
succession,1,,985503003,managed,planted,cc_pl,0.610979902530386
succession,0,,985502002,unmanaged,natural,baseline,0.874630288290976
succession,0,,985502002,managed,natural,baseline,0.874630288290976
succession,1,,985502002,managed,planted,cc_pl,0.874630288290976
succession,0,,985503003,unmanaged,planted,cc_pl,0.035
succession,0,,985502003,unmanaged,natural,baseline,0.114577176477186
succession,0,,985502003,managed,natural,baseline,0.114577176477186
succession,1,,985502003,managed,planted,cc_pl,0.114577176477186
succession,0,,985503000,unmanaged,planted,cc_pl,0.301627962835364
succession,0,,985503000,managed,planted,cc_pl,0.301627962835364
succession,1,,985503000,managed,planted,cc_pl_pct,0.301627962835364
succession,0,,985501000,unmanaged,planted,cc_pl,0.070347781261467
succession,0,,985501000,managed,planted,cc_pl,0.070347781261467
succession,0,,985503000,unmanaged,natural,baseline,0.38787045574894
succession,0,,985503000,managed,natural,baseline,0.38787045574894
succession,1,,985503000,managed,planted,cc_pl,0.38787045574894
succession,2,,985503000,managed,planted,cc_pl_pct,0.38787045574894
succession,0,,985502007,unmanaged,natural,baseline,0.318435268261237
succession,0,,985502007,managed,natural,baseline,0.318435268261237
succession,1,,985502007,managed,planted,cc_pl,0.318435268261237
succession,0,,985502002,unmanaged,natural,baseline,0.30017286652235
succession,0,,985502002,managed,natural,baseline,0.30017286652235
succession,1,,985502002,managed,planted,cc_pl,0.30017286652235
succession,0,,985503001,unmanaged,planted,cc_pl,0.215510706603254
succession,0,,985503001,managed,planted,cc_pl,0.215510706603254
succession,1,,985503001,managed,planted,cc_pl_pct,0.215510706603254
succession,0,,985501003,unmanaged,natural,baseline,0.765111328934803
succession,0,,985501003,managed,natural,baseline,0.765111328934803
succession,1,,985501003,managed,planted,cc_pl,0.765111328934803
succession,0,,985502001,unmanaged,planted,cc_pl,0.047528581136063
succession,0,,985502001,managed,planted,cc_pl,0.047528581136063
succession,1,,985502001,managed,planted,cc_pl_pct,0.047528581136063
succession,0,,985502002,unmanaged,natural,baseline,0.145812436284451
succession,0,,985502002,managed,natural,baseline,0.145812436284451
succession,1,,985502002,managed,planted,cc_pl,0.145812436284451
succession,0,,985502008,unmanaged,natural,baseline,0.99
succession,0,,985502008,managed,natural,baseline,0.99
succession,1,,985502008,managed,planted,cc_pl,0.99
succession,0,,985502004,unmanaged,planted,cc_pl,0.882185468875652
succession,0,,985502004,managed,planted,cc_pl,0.882185468875652
succession,0,,985503000,unmanaged,planted,cc_pl,0.051842828000545
succession,0,,985503000,managed,planted,cc_pl,0.051842828000545
succession,1,,985503000,managed,planted,cc_pl_pct,0.051842828000545
succession,0,,985503000,unmanaged,natural,baseline,0.442500513712955
succession,0,,985503000,managed,natural,baseline,0.442500513712955
succession,1,,985503000,managed,planted,cc_pl,0.442500513712955
succession,2,,985503000,managed,planted,cc_pl_pct,0.442500513712955
succession,0,,985501000,unmanaged,planted,cc_pl,0.648827333101125
succession,0,,985501000,managed,planted,cc_pl,0.648827333101125
succession,0,,985503001,unmanaged,planted,cc_pl,0.144428337899884
succession,0,,985503001,managed,planted,cc_pl,0.144428337899884
succession,1,,985503001,managed,planted,cc_pl_pct,0.144428337899884
succession,0,,985502003,unmanaged,natural,baseline,0.404335644977407
succession,0,,985502003,managed,natural,baseline,0.404335644977407
succession,1,,985502003,managed,planted,cc_pl,0.404335644977407
succession,0,,985501003,unmanaged,natural,baseline,1.0
succession,0,,985503000,unmanaged,planted,cc_pl,0.149568075902232
succession,0,,985503000,managed,planted,cc_pl,0.149568075902232
succession,1,,985503000,managed,planted,cc_pl_pct,0.149568075902232
succession,0,,985502001,unmanaged,planted,cc_pl,0.046376978165406
succession,0,,985502001,managed,planted,cc_pl,0.046376978165406
succession,1,,985502001,managed,planted,cc_pl_pct,0.046376978165406
succession,0,,985502004,unmanaged,planted,cc_pl,0.661131377675157
succession,0,,985502004,managed,planted,cc_pl,0.661131377675157
succession,0,,985503003,unmanaged,natural,baseline,0.494232493334407
succession,0,,985503003,managed,natural,baseline,0.494232493334407
succession,1,,985503003,managed,planted,cc_pl,0.494232493334407
succession,0,,985503000,unmanaged,planted,cc_pl,0.937094606722601
succession,0,,985503000,managed,planted,cc_pl,0.937094606722601
succession,1,,985503000,managed,planted,cc_pl_pct,0.937094606722601
succession,0,,985503003,unmanaged,planted,cc_pl,0.044747027281018
succession,0,,985503003,managed,planted,cc_pl,0.044747027281018
succession,0,,985503001,unmanaged,planted,cc_pl,0.072316093064927
succession,0,,985503001,managed,planted,cc_pl,0.072316093064927
succession,1,,985503001,managed,planted,cc_pl_pct,0.072316093064927
succession,0,,985503000,unmanaged,planted,cc_pl,0.374414632392907
succession,0,,985503000,managed,planted,cc_pl,0.374414632392907
succession,1,,985503000,managed,planted,cc_pl_pct,0.374414632392907
succession,0,,985501001,unmanaged,natural,baseline,0.035
succession,0,,985501001,managed,natural,baseline,0.035
succession,0,,985501001,unmanaged,natural,baseline,0.083839292567014
succession,0,,985501001,managed,natural,baseline,0.083839292567014
succession,1,,985501001,managed,planted,cc_pl,0.083839292567014
succession,0,,985503000,unmanaged,natural,baseline,0.207666800176193
succession,0,,985503000,managed,natural,baseline,0.207666800176193
succession,1,,985503000,managed,planted,cc_pl,0.207666800176193
succession,2,,985503000,managed,planted,cc_pl_pct,0.207666800176193
succession,0,,985502004,unmanaged,planted,cc_pl,0.688008632091097
succession,0,,985502004,managed,planted,cc_pl,0.688008632091097
succession,0,,985503001,unmanaged,planted,cc_pl,0.346509070480962
succession,0,,985503001,managed,planted,cc_pl,0.346509070480962
succession,1,,985503001,managed,planted,cc_pl_pct,0.346509070480962
succession,0,,985503000,unmanaged,planted,cc_pl,0.153269833161428
succession,0,,985503000,managed,planted,cc_pl,0.153269833161428
succession,1,,985503000,managed,planted,cc_pl_pct,0.153269833161428
succession,0,,985502003,unmanaged,planted,cc_pl,0.314062835092469
succession,0,,985502003,managed,planted,cc_pl,0.314062835092469
succession,0,,985502004,unmanaged,planted,cc_pl,0.270071285180665
succession,0,,985502004,managed,planted,cc_pl,0.270071285180665
succession,0,,985502002,unmanaged,natural,baseline,0.811866701682445
succession,0,,985502002,managed,natural,baseline,0.811866701682445
succession,1,,985502002,managed,planted,cc_pl,0.811866701682445
succession,0,,985503003,unmanaged,natural,baseline,0.087739129426273
succession,0,,985503003,managed,natural,baseline,0.087739129426273
succession,1,,985503003,managed,planted,cc_pl,0.087739129426273
succession,0,,985502004,unmanaged,planted,cc_pl,0.576205377358853
succession,0,,985502004,managed,planted,cc_pl,0.576205377358853
succession,0,,985501000,unmanaged,natural,baseline,0.228867422610761
succession,0,,985501000,managed,natural,baseline,0.228867422610761
succession,1,,985501000,managed,planted,cc_pl,0.228867422610761
succession,0,,985502005,unmanaged,natural,baseline,0.28031497264675
succession,0,,985502005,managed,natural,baseline,0.28031497264675
succession,1,,985502005,managed,planted,cc_pl,0.28031497264675
succession,0,,985503003,unmanaged,natural,baseline,0.144298309458217
succession,0,,985503003,managed,natural,baseline,0.144298309458217
succession,1,,985503003,managed,planted,cc_pl,0.144298309458217
succession,0,,985502007,unmanaged,natural,baseline,0.140458869078009
succession,0,,985502007,managed,natural,baseline,0.140458869078009
succession,1,,985502007,managed,planted,cc_pl,0.140458869078009
succession,0,,985502006,unmanaged,natural,baseline,0.99
succession,0,,985502006,managed,natural,baseline,0.99
succession,1,,985502006,managed,planted,cc_pl,0.99
succession,0,,985502007,unmanaged,natural,baseline,0.180154264313365
succession,0,,985502007,managed,natural,baseline,0.180154264313365
succession,1,,985502007,managed,planted,cc_pl,0.180154264313365
succession,0,,985503001,unmanaged,planted,cc_pl,0.052357027640407
succession,0,,985503001,managed,planted,cc_pl,0.052357027640407
succession,1,,985503001,managed,planted,cc_pl_pct,0.052357027640407
succession,0,,985501000,unmanaged,planted,cc_pl,0.574279042279409
succession,0,,985501000,managed,planted,cc_pl,0.574279042279409
succession,0,,985501000,unmanaged,natural,baseline,0.112373765353201
succession,0,,985501000,managed,natural,baseline,0.112373765353201
succession,1,,985501000,managed,planted,cc_pl,0.112373765353201
succession,0,,985501001,unmanaged,natural,baseline,0.448147897409673
succession,0,,985501001,managed,natural,baseline,0.448147897409673
succession,1,,985501001,managed,planted,cc_pl,0.448147897409673
succession,0,,985503000,unmanaged,natural,baseline,0.073003775770929
succession,0,,985503000,managed,natural,baseline,0.073003775770929
succession,1,,985503000,managed,planted,cc_pl,0.073003775770929
succession,2,,985503000,managed,planted,cc_pl_pct,0.073003775770929
succession,0,,985502005,unmanaged,planted,cc_pl,0.035
succession,0,,985502005,managed,planted,cc_pl,0.035
succession,0,,985502003,unmanaged,natural,baseline,0.197818404376291
succession,0,,985502003,managed,natural,baseline,0.197818404376291
succession,1,,985502003,managed,planted,cc_pl,0.197818404376291
succession,0,,985503003,unmanaged,natural,baseline,0.055424831392087
succession,0,,985503003,managed,natural,baseline,0.055424831392087
succession,1,,985503003,managed,planted,cc_pl,0.055424831392087
succession,0,,985501000,unmanaged,planted,cc_pl,0.117160185966314
succession,0,,985501000,managed,planted,cc_pl,0.117160185966314
succession,0,,985502004,unmanaged,planted,cc_pl,0.035
succession,0,,985502004,managed,planted,cc_pl,0.035
succession,0,,985501000,unmanaged,natural,baseline,0.309982310881903
succession,0,,985501000,managed,natural,baseline,0.309982310881903
succession,1,,985501000,managed,planted,cc_pl,0.309982310881903
succession,0,,985503000,unmanaged,planted,cc_pl,0.069926054133852
succession,0,,985503000,managed,planted,cc_pl,0.069926054133852
succession,1,,985503000,managed,planted,cc_pl_pct,0.069926054133852
succession,0,,985503000,unmanaged,planted,cc_pl,0.076384733315972
succession,0,,985503000,managed,planted,cc_pl,0.076384733315972
succession,1,,985503000,managed,planted,cc_pl_pct,0.076384733315972
succession,0,,985501000,unmanaged,natural,baseline,0.257208353638426
succession,0,,985501000,managed,natural,baseline,0.257208353638426
succession,1,,985501000,managed,planted,cc_pl,0.257208353638426
succession,0,,985502005,unmanaged,planted,cc_pl,0.793822489716033
succession,0,,985502005,managed,planted,cc_pl,0.793822489716033
succession,0,,985502001,unmanaged,planted,cc_pl,0.103674899822976
succession,0,,985502001,managed,planted,cc_pl,0.103674899822976
succession,1,,985502001,managed,planted,cc_pl_pct,0.103674899822976
succession,0,,985503000,unmanaged,planted,cc_pl,0.057265426181755
succession,0,,985503000,managed,planted,cc_pl,0.057265426181755
succession,1,,985503000,managed,planted,cc_pl_pct,0.057265426181755
succession,0,,985503000,unmanaged,planted,cc_pl,0.161721782385957
succession,0,,985503000,managed,planted,cc_pl,0.161721782385957
succession,1,,985503000,managed,planted,cc_pl_pct,0.161721782385957
succession,0,,985503001,unmanaged,natural,baseline,0.035
succession,0,,985503001,managed,natural,baseline,0.035
succession,0,,985503000,unmanaged,natural,baseline,0.211048640449287
succession,0,,985503000,managed,natural,baseline,0.211048640449287
succession,1,,985503000,managed,planted,cc_pl,0.211048640449287
succession,2,,985503000,managed,planted,cc_pl_pct,0.211048640449287
succession,0,,985501001,unmanaged,planted,cc_pl,0.492819712944452
succession,0,,985501001,managed,planted,cc_pl,0.492819712944452
succession,0,,985503001,unmanaged,planted,cc_pl,0.366819716152041
succession,0,,985503001,managed,planted,cc_pl,0.366819716152041
succession,1,,985503001,managed,planted,cc_pl_pct,0.366819716152041
succession,0,,985501000,unmanaged,planted,cc_pl,0.05468673168752
succession,0,,985501000,managed,planted,cc_pl,0.05468673168752
succession,0,,985502003,unmanaged,natural,baseline,1.0
succession,0,,985502003,unmanaged,natural,baseline,0.611896918097674
succession,0,,985502003,managed,natural,baseline,0.611896918097674
succession,1,,985502003,managed,planted,cc_pl,0.611896918097674
succession,0,,985503003,unmanaged,natural,baseline,0.087430024345165
succession,0,,985503003,managed,natural,baseline,0.087430024345165
succession,1,,985503003,managed,planted,cc_pl,0.087430024345165
succession,0,,985502001,unmanaged,natural,baseline,0.421533607959446
succession,0,,985502001,managed,natural,baseline,0.421533607959446
succession,1,,985502001,managed,planted,cc_pl,0.421533607959446
succession,2,,985502001,managed,planted,cc_pl_pct,0.421533607959446
succession,0,,985503000,unmanaged,planted,cc_pl,0.044910862062989
succession,0,,985503000,managed,planted,cc_pl,0.044910862062989
succession,1,,985503000,managed,planted,cc_pl_pct,0.044910862062989
